journal,group,value,closed_deals,net_profit,gross_profit,gross_loss,profit_factor,win_rate_pct
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_direction_hour_exit_reason,setupsmc_dir1_hour12_reason4,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_direction_hour_split,setupm1_micro_scalp_dir-1_hour10_split1,11,-363.86,739.02,-1102.88,0.67,54.55
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_direction_hour_split,setupm1_micro_scalp_dir-1_hour8_split1,8,801.60,1036.50,-234.90,4.41,87.50
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_direction_hour_split,setupm5_scalp_dir-1_hour10_split1,11,792.71,1046.89,-254.18,4.12,81.82
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_direction_hour_split,setupm5_scalp_dir-1_hour8_split1,14,-125.28,967.28,-1092.56,0.89,64.29
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_direction_hour_split,setupsmc_dir1_hour12_split1,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_exit_reason,setupm1_micro_scalp_reason3,11,1566.78,1566.78,0.00,1566.78,100.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_exit_reason,setupm1_micro_scalp_reason4,8,-1129.04,208.74,-1337.78,0.16,25.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_exit_reason,setupm5_scalp_reason3,17,1948.74,1948.74,0.00,1948.74,100.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_exit_reason,setupm5_scalp_reason4,8,-1281.31,65.43,-1346.74,0.05,12.50
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_exit_reason,setupsmc_reason4,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_scalp_variant,setupm1_micro_scalp_variant1,19,437.74,1775.52,-1337.78,1.33,68.42
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_scalp_variant,setupm5_scalp_variant1,25,667.43,2014.17,-1346.74,1.50,72.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,setup_scalp_variant,setupsmc_variant0,1,-501.93,0.00,-501.93,0.00,0.00
GoldBot-fundingpips-p1-h1-2026-negative-window-control::stitched,split,1,45,603.24,3789.69,-3186.45,1.19,68.89
