open_time,order,symbol,type,volume,price,sl,tp,time,state,comment
2026.06.01 01:21:00,2,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 01:21:00,filled,Libra C+
2026.06.01 01:38:40,3,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 01:38:40,filled,Libra C+
2026.06.01 01:48:53,4,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 01:48:53,filled,sl 4539.39
2026.06.01 03:03:03,5,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 03:03:03,filled,Libra C+
2026.06.01 03:05:18,6,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 03:05:18,filled,sl 4544.76
2026.06.01 03:09:15,7,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 03:09:15,filled,Libra C+
2026.06.01 03:30:19,8,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 03:30:19,filled,sl 4544.29
2026.06.01 03:48:40,9,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 03:48:40,filled,Libra C+
2026.06.01 04:08:47,10,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 04:08:47,filled,sl 4528.40
2026.06.01 04:09:00,11,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 04:09:00,filled,0.0
2026.06.01 04:22:18,12,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 04:22:18,filled,sl 4535.71
2026.06.01 04:22:18,13,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 04:22:18,filled,sl 4535.71
2026.06.01 04:22:18,14,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 04:22:18,filled,Libra C+
2026.06.01 05:29:00,15,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 05:29:00,filled,Libra C+
2026.06.01 05:30:57,16,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 05:30:57,filled,sl 4525.01
2026.06.01 05:37:46,17,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 05:37:46,filled,Libra C+
2026.06.01 05:41:01,18,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 05:41:01,filled,sl 4525.56
2026.06.01 05:45:00,19,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 05:45:00,filled,0.0
2026.06.01 06:35:38,20,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 06:35:38,filled,Libra C+
2026.06.01 06:39:59,21,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 06:39:59,filled,sl 4515.82
2026.06.01 06:45:00,22,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 06:45:00,filled,0.0
2026.06.01 07:04:37,23,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 07:04:37,filled,Libra C+
2026.06.01 07:13:26,24,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 07:13:26,filled,sl 4513.79
2026.06.01 07:17:05,25,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 07:17:05,filled,Libra C+
2026.06.01 07:49:45,26,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 07:49:45,filled,sl 4509.62
2026.06.01 07:56:17,27,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 07:56:17,filled,Libra C+
2026.06.01 08:49:59,28,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 08:49:59,filled,sl 4524.37
2026.06.01 08:49:59,29,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 08:49:59,filled,sl 4524.37
2026.06.01 08:49:59,30,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 08:49:59,filled,sl 4524.37
2026.06.01 09:18:27,31,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 09:18:27,filled,sl 4511.29
2026.06.01 09:31:00,32,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 09:31:00,filled,Libra C+
2026.06.01 10:10:02,33,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 10:10:02,filled,Libra C+
2026.06.01 10:39:31,34,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 10:39:31,filled,sl 4504.03
2026.06.01 10:42:00,35,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 10:42:00,filled,0.0
2026.06.01 11:00:29,36,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 11:00:29,filled,Libra C+
2026.06.01 11:04:04,37,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 11:04:04,filled,sl 4498.44
2026.06.01 11:57:38,38,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 11:57:38,filled,Libra C+
2026.06.01 12:33:27,39,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 12:33:27,filled,sl 4490.92
2026.06.01 13:05:39,40,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 13:05:39,filled,Libra C+
2026.06.01 13:48:00,41,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 13:48:00,filled,0.0
2026.06.01 13:48:00,42,XAUUSD.s,buy,0.02,0.00,,,2026.06.01 13:48:00,filled,
2026.06.01 13:48:00,43,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 13:48:00,filled,
2026.06.01 13:48:00,44,XAUUSD.s,sell,0.02,0.00,,,2026.06.01 13:48:00,filled,
2026.06.01 13:48:00,45,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 13:48:00,filled,
2026.06.01 13:58:00,46,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 13:58:00,filled,Libra C+
2026.06.01 13:59:40,47,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 13:59:40,filled,Libra C+
2026.06.01 14:04:01,48,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 14:04:01,filled,sl 4501.69
2026.06.01 14:23:02,49,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 14:23:02,filled,sl 4511.21
2026.06.01 14:37:59,50,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 14:37:59,filled,Libra C+
2026.06.01 14:53:38,51,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 14:53:38,filled,Libra C+
2026.06.01 15:03:27,52,XAUUSD.s,buy,0.01,0.00,,,2026.06.01 15:03:27,filled,sl 4504.83
2026.06.01 15:13:30,53,XAUUSD.s,sell,0.01,0.00,,,2026.06.01 15:13:30,filled,Libra C+
