open_time,order,symbol,type,volume,price,sl,tp,time,state,comment
2026.06.22 01:11:00,2,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 01:11:00,filled,Libra C+
2026.06.22 01:11:46,3,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 01:11:46,filled,sl 4151.82
2026.06.22 01:22:01,4,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 01:22:01,filled,Libra C+
2026.06.22 01:25:24,5,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 01:25:24,filled,sl 4150.23
2026.06.22 02:16:00,6,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 02:16:00,filled,Libra C+
2026.06.22 02:20:29,7,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 02:20:29,filled,Libra C+
2026.06.22 02:24:33,8,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 02:24:33,filled,sl 4158.16
2026.06.22 02:26:42,9,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 02:26:42,filled,Libra C+
2026.06.22 02:31:49,10,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 02:31:49,filled,sl 4152.60
2026.06.22 02:36:00,11,XAUUSD.s,buy,0.02,0.00,,,2026.06.22 02:36:00,filled,0.0
2026.06.22 03:02:03,12,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 03:02:03,filled,Libra C+
2026.06.22 03:02:51,13,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 03:02:51,filled,sl 4145.11
2026.06.22 03:02:51,14,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 03:02:51,filled,Libra C+
2026.06.22 03:03:42,15,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 03:03:42,filled,sl 4143.03
2026.06.22 03:10:11,16,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 03:10:11,filled,sl 4150.14
2026.06.22 03:10:11,17,XAUUSD.s,sell,0.02,0.00,,,2026.06.22 03:10:11,filled,sl 4150.14
2026.06.22 03:39:05,18,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 03:39:05,filled,Libra C+
2026.06.22 03:50:00,19,XAUUSD.s,sell,0.02,0.00,,,2026.06.22 03:50:00,filled,0.0
2026.06.22 03:56:00,20,XAUUSD.s,sell,0.02,0.00,,,2026.06.22 03:56:00,filled,0.0
2026.06.22 04:15:00,21,XAUUSD.s,sell,0.03,0.00,,,2026.06.22 04:15:00,filled,0.0
2026.06.22 04:40:36,22,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 04:40:36,filled,Libra C+
2026.06.22 04:49:29,23,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 04:49:29,filled,
2026.06.22 04:49:29,24,XAUUSD.s,buy,0.03,0.00,,,2026.06.22 04:49:29,filled,
2026.06.22 04:49:29,25,XAUUSD.s,buy,0.02,0.00,,,2026.06.22 04:49:29,filled,
2026.06.22 04:49:29,26,XAUUSD.s,buy,0.02,0.00,,,2026.06.22 04:49:29,filled,
2026.06.22 04:49:29,27,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 04:49:29,filled,
2026.06.22 05:24:24,28,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 05:24:24,filled,Libra C+
2026.06.22 05:30:27,29,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 05:30:27,filled,sl 4192.28
2026.06.22 05:31:04,30,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 05:31:04,filled,Libra C+
2026.06.22 05:48:11,31,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 05:48:11,filled,sl 4188.67
2026.06.22 05:50:05,32,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 05:50:05,filled,Libra C+
2026.06.22 06:01:08,33,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 06:01:08,filled,sl 4188.16
2026.06.22 06:34:00,34,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 06:34:00,filled,Libra C+
2026.06.22 07:11:23,35,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 07:11:23,filled,Libra C+
2026.06.22 08:08:07,36,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 08:08:07,filled,sl 4182.32
2026.06.22 08:25:00,37,XAUUSD.s,sell,0.02,0.00,,,2026.06.22 08:25:00,filled,0.0
2026.06.22 09:05:11,38,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 09:05:11,filled,Libra C+
2026.06.22 09:08:01,39,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 09:08:01,filled,sl 4194.50
2026.06.22 09:45:00,40,XAUUSD.s,sell,0.02,0.00,,,2026.06.22 09:45:00,filled,0.0
2026.06.22 10:02:31,41,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 10:02:31,filled,Libra C+
2026.06.22 12:04:54,42,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 12:04:54,filled,sl 4201.82
2026.06.22 12:47:06,43,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 12:47:06,filled,Libra C+
2026.06.22 12:52:07,44,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 12:52:07,filled,sl 4209.07
2026.06.22 13:38:27,45,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 13:38:27,filled,Libra C+
2026.06.22 14:05:57,46,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 14:05:57,filled,sl 4213.53
2026.06.22 14:42:00,47,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 14:42:00,filled,Libra C+
2026.06.22 15:03:50,48,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 15:03:50,filled,sl 4209.58
2026.06.22 15:11:35,49,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 15:11:35,filled,Libra C+
2026.06.22 15:23:42,50,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 15:23:42,filled,sl 4210.83
2026.06.22 16:17:00,51,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 16:17:00,filled,Libra C+
2026.06.22 16:26:04,52,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 16:26:04,filled,sl 4189.61
2026.06.22 16:26:04,53,XAUUSD.s,buy,0.02,0.00,,,2026.06.22 16:26:04,filled,sl 4189.61
2026.06.22 16:26:04,54,XAUUSD.s,buy,0.02,0.00,,,2026.06.22 16:26:04,filled,sl 4189.61
2026.06.22 16:40:47,55,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 16:40:47,filled,Libra C+
2026.06.22 16:41:55,56,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 16:41:55,filled,sl 4189.86
2026.06.22 16:44:00,57,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 16:44:00,filled,Libra C+
2026.06.22 16:45:19,58,XAUUSD.s,buy,0.01,0.00,,,2026.06.22 16:45:19,filled,sl 4188.72
2026.06.22 16:48:28,59,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 16:48:28,filled,sl 4198.45
2026.06.22 17:03:02,60,XAUUSD.s,sell,0.01,0.00,,,2026.06.22 17:03:02,filled,Libra C+
2026.06.22 17:09:00,61,XAUUSD.s,sell,0.02,0.00,,,2026.06.22 17:09:00,filled,0.0
